player 1,player 2,winner,winner points,Total_points,depth
"{'apertura': {'corner': 0.7553, 'mob': 0.8406, 'stable': 0.026, 'parity': 0.1594, 'pos': 0.6255}, 'medio': {'corner': 0.0025, 'mob': 0.1512, 'stable': 0.8237, 'parity': 0.7703, 'pos': 0.7099}, 'final': {'corner': 0.3804, 'mob': 0.9852, 'stable': 0.8516, 'parity': 0.4174, 'pos': 0.3948}}",minimax,minimax,49,64,61
"{'apertura': {'corner': 0.2504, 'mob': 0.9961, 'stable': 0.3928, 'parity': 0.2173, 'pos': 0.7654}, 'medio': {'corner': 0.8188, 'mob': 0.7411, 'stable': 0.3847, 'parity': 0.9481, 'pos': 0.1069}, 'final': {'corner': 0.8007, 'mob': 0.574, 'stable': 0.0017, 'parity': 0.2234, 'pos': 0.6852}}",minimax,minimax,43,64,60
"{'apertura': {'corner': 0.9057, 'mob': 0.072, 'stable': 0.8491, 'parity': 0.5022, 'pos': 0.7546}, 'medio': {'corner': 0.7077, 'mob': 0.2394, 'stable': 0.5365, 'parity': 0.9447, 'pos': 0.4376}, 'final': {'corner': 0.2117, 'mob': 0.5275, 'stable': 0.6217, 'parity': 0.5892, 'pos': 0.1193}}",minimax,minimax,60,61,58
"{'apertura': {'corner': 0.4096, 'mob': 0.0126, 'stable': 0.9191, 'parity': 0.7234, 'pos': 0.9212}, 'medio': {'corner': 0.0307, 'mob': 0.0177, 'stable': 0.4407, 'parity': 0.8971, 'pos': 0.731}, 'final': {'corner': 0.0569, 'mob': 0.3368, 'stable': 0.9535, 'parity': 0.0057, 'pos': 0.6505}}",minimax,minimax,60,61,58
"{'apertura': {'corner': 0.8811, 'mob': 0.3448, 'stable': 0.9238, 'parity': 0.6118, 'pos': 0.168}, 'medio': {'corner': 0.2463, 'mob': 0.6864, 'stable': 0.4075, 'parity': 0.4207, 'pos': 0.8948}, 'final': {'corner': 0.7702, 'mob': 0.3475, 'stable': 0.2639, 'parity': 0.3184, 'pos': 0.0535}}",minimax,minimax,53,61,58
"{'apertura': {'corner': 0.244, 'mob': 0.4288, 'stable': 0.3181, 'parity': 0.2264, 'pos': 0.5305}, 'medio': {'corner': 0.469, 'mob': 0.0358, 'stable': 0.9144, 'parity': 0.572, 'pos': 0.4544}, 'final': {'corner': 0.8562, 'mob': 0.2116, 'stable': 0.4235, 'parity': 0.7786, 'pos': 0.7348}}",minimax,minimax,42,62,65
"{'apertura': {'corner': 0.0368, 'mob': 0.3599, 'stable': 0.6084, 'parity': 0.6966, 'pos': 0.7825}, 'medio': {'corner': 0.0357, 'mob': 0.7523, 'stable': 0.1898, 'parity': 0.7083, 'pos': 0.8779}, 'final': {'corner': 0.9725, 'mob': 0.0401, 'stable': 0.3787, 'parity': 0.1274, 'pos': 0.1246}}",minimax,minimax,48,64,63
"{'apertura': {'corner': 0.8836, 'mob': 0.0005, 'stable': 0.329, 'parity': 0.7296, 'pos': 0.7206}, 'medio': {'corner': 0.3709, 'mob': 0.4237, 'stable': 0.1747, 'parity': 0.4089, 'pos': 0.935}, 'final': {'corner': 0.9622, 'mob': 0.3678, 'stable': 0.4029, 'parity': 0.8325, 'pos': 0.679}}",minimax,minimax,48,64,60
"{'apertura': {'corner': 0.2815, 'mob': 0.7731, 'stable': 0.6398, 'parity': 0.0098, 'pos': 0.664}, 'medio': {'corner': 0.3603, 'mob': 0.5539, 'stable': 0.0081, 'parity': 0.3391, 'pos': 0.2321}, 'final': {'corner': 0.0626, 'mob': 0.9641, 'stable': 0.099, 'parity': 0.6918, 'pos': 0.157}}",minimax,minimax,52,64,60
"{'apertura': {'corner': 0.1944, 'mob': 0.7958, 'stable': 0.3743, 'parity': 0.0967, 'pos': 0.1513}, 'medio': {'corner': 0.8745, 'mob': 0.1503, 'stable': 0.9285, 'parity': 0.7906, 'pos': 0.9501}, 'final': {'corner': 0.127, 'mob': 0.8168, 'stable': 0.0081, 'parity': 0.8943, 'pos': 0.1401}}",minimax,minimax,46,64,60
"{'apertura': {'corner': 0.0767, 'mob': 0.6503, 'stable': 0.1597, 'parity': 0.9039, 'pos': 0.0452}, 'medio': {'corner': 0.6966, 'mob': 0.1339, 'stable': 0.8834, 'parity': 0.4522, 'pos': 0.68}, 'final': {'corner': 0.4921, 'mob': 0.7597, 'stable': 0.2199, 'parity': 0.3588, 'pos': 0.0926}}",minimax,minimax,36,64,60
"{'apertura': {'corner': 0.8825, 'mob': 0.6854, 'stable': 0.6414, 'parity': 0.0775, 'pos': 0.2963}, 'medio': {'corner': 0.3994, 'mob': 0.0612, 'stable': 0.5834, 'parity': 0.9121, 'pos': 0.4839}, 'final': {'corner': 0.5345, 'mob': 0.2159, 'stable': 0.1151, 'parity': 0.582, 'pos': 0.373}}",minimax,minimax,45,64,60
